181	Terminal :	10.80.15.220 	 Kullanıcı :00190 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:37:53
182	Terminal :	10.80.15.220 	 Kullanıcı :00346 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:40:42
183	Terminal :	10.80.15.220 	 Kullanıcı :00080 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:42:08
184	Terminal :	10.80.15.220 	 Kullanıcı :00079 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:42:29
185	Terminal :	10.80.15.220 	 Kullanıcı :00403 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:43:49
186	Terminal :	10.80.15.220 	 Kullanıcı :00170 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:44:38
187	Terminal :	10.80.15.220 	 Kullanıcı :00137 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:45:04
188	Terminal :	10.80.15.220 	 Kullanıcı :00344 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:45:16
189	Terminal :	10.80.15.220 	 Kullanıcı :00174 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:47:48
190	Terminal :	10.80.15.220 	 Kullanıcı :00054 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:48:02
191	Terminal :	10.80.15.220 	 Kullanıcı :00019 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:48:14
192	Terminal :	10.80.15.220 	 Kullanıcı :00050 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:48:17
193	Terminal :	10.80.15.220 	 Kullanıcı :00038 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:48:20
194	Terminal :	10.80.15.220 	 Kullanıcı :00035 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:49:03
195	Terminal :	10.80.15.220 	 Kullanıcı :00197 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:49:47
196	Terminal :	10.80.15.220 	 Kullanıcı :00203 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:49:49
197	Terminal :	10.80.15.220 	 Kullanıcı :00398 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:49:58
198	Terminal :	10.80.15.220 	 Kullanıcı :00040 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:51:20
199	Terminal :	10.80.15.220 	 Kullanıcı :00182 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:51:42
200	Terminal :	10.80.15.220 	 Kullanıcı :00245 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:52:40
201	Terminal :	10.80.15.220 	 Kullanıcı :00084 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:52:55
202	Terminal :	10.80.15.220 	 Kullanıcı :00090 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:52:58
203	Terminal :	10.80.15.220 	 Kullanıcı :00055 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:00
204	Terminal :	10.80.15.220 	 Kullanıcı :00087 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:02
205	Terminal :	10.80.15.220 	 Kullanıcı :00048 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:03
206	Terminal :	10.80.15.220 	 Kullanıcı :00303 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:53:38
